,Date,S&P 500,Consumer Discretionary,Consumer Staples,Health Care,Industrials,Information Technology,Materials,Real Estate,Communication Services,Utilities,Financials,Energy
5115,2020-05-04,2842.739990234375,918.010009765625,590.5399780273438,1138.719970703125,519.2100219726562,1583.9200439453125,320.75,203.75999450683594,168.52999877929688,285.739990234375,362.44000244140625,282.3800048828125
5116,2020-05-05,2868.43994140625,921.2000122070312,591.3200073242188,1163.2099609375,521.4299926757812,1606.47998046875,321.7099914550781,205.0399932861328,169.57000732421875,288.3900146484375,362.19000244140625,283.1199951171875
5117,2020-05-06,2848.419921875,924.0999755859375,584.8200073242188,1151.780029296875,514.3099975585938,1617.9300537109375,315.8500061035156,201.25999450683594,168.88999938964844,278.260009765625,353.8299865722656,275.6700134277344
5118,2020-05-07,2881.18994140625,936.510009765625,582.4000244140625,1151.260009765625,520.1699829101562,1642.449951171875,322.5899963378906,202.97000122070312,171.52999877929688,279.4800109863281,361.67999267578125,282.489990234375
5119,2020-05-08,2929.800048828125,952.0900268554688,595.6300048828125,1157.469970703125,533.1599731445312,1665.4000244140625,330.32000732421875,206.75999450683594,174.22999572753906,285.1000061035156,369.6000061035156,294.75
5120,2020-05-11,2930.18994140625,953.0,594.469970703125,1177.1700439453125,526.510009765625,1676.989990234375,325.30999755859375,204.25,174.47000122070312,283.739990234375,362.4200134277344,289.7799987792969
5121,2020-05-12,2870.1201171875,931.5700073242188,589.3099975585938,1159.6199951171875,511.54998779296875,1641.1800537109375,320.2300109863281,195.57000732421875,171.08999633789062,281.17999267578125,352.739990234375,282.92999267578125
5122,2020-05-13,2820.0,920.3200073242188,583.9500122070312,1146.8699951171875,498.42999267578125,1613.47998046875,313.239990234375,192.4199981689453,168.32000732421875,278.6499938964844,342.1400146484375,270.5199890136719
5123,2020-05-14,2852.5,932.3800048828125,582.1199951171875,1159.18994140625,503.2699890136719,1633.760009765625,317.0899963378906,192.60000610351562,170.00999450683594,281.29998779296875,351.17999267578125,273.07000732421875
5124,2020-05-15,2863.699951171875,942.2999877929688,586.530029296875,1167.6300048828125,501.7200012207031,1640.6600341796875,320.1400146484375,191.75,172.14999389648438,277.3399963378906,348.6000061035156,272.30999755859375
5125,2020-05-18,2953.909912109375,972.489990234375,596.2899780273438,1178.5799560546875,534.9000244140625,1682.7099609375,334.75,201.2100067138672,175.85000610351562,288.82000732421875,367.1499938964844,292.8699951171875
